UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,,
LARCENY,201780556,6/26/2020,708 SPRING ST NW,505,Midtown,E,33.77402,-84.3892,,
LARCENY,201780582,6/26/2020,426 TRABERT AVE NW,207,Loring Heights,E,33.79407,-84.40169,,
LARCENY,201780614,6/26/2020,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80077,-84.40869,,
LARCENY,201780628,6/26/2020,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85302,-84.36278,,
AGG ASSAULT,201780649,6/26/2020,500 NORTHSIDE CIR,207,Loring Heights,E,33.79917,-84.40458,,
LARCENY,201780674,6/26/2020,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81743,-84.351,,
LARCENY,201780695,6/26/2020,1042 MCLYNN AVE NE,613,Morningside/Lenox Park,F,33.78892,-84.35297,,
BURGLARY,201780699,6/26/2020,159 WHITEFOORD AVE SE,609,Edgewood,O,33.74898,-84.34235,,
AGG ASSAULT,201780719,6/26/2020,558 MILAM AVE SW,309,Perkerson,X,33.69383,-84.40699,,
LARCENY,201780754,6/26/2020,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.81948,-84.36425,,
LARCENY,201780765,6/26/2020,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.85242,-84.36703,,
LARCENY,201780801,6/26/2020,2975 HEADLAND DR SW @BIG LOTS - HEADLAND,411,Greenbriar,R,33.69168,-84.4872,,
LARCENY,201780907,6/26/2020,1760 PEACHTREE ST NW,207,Brookwood,E,33.80206,-84.39328,,
LARCENY,201780935,6/26/2020,816 OAK ST SW,401,West End,T,33.74054,-84.41497,,
LARCENY,201780936,6/26/2020,1010 EDEN AVE SE,607,Ormewood Park,W,33.73037,-84.35476,,
LARCENY,201780940,6/26/2020,34 7TH ST NE,505,Midtown,E,33.77891,-84.38617,,
LARCENY,201780948,6/26/2020,200 PEYTON PL SW,405,Harland Terrace,I,33.7499,-84.47534,,
LARCENY,201780995,6/26/2020,1184 SPRING ST NW,502,Midtown,E,33.78697,-84.38959,,
ROBBERY,201781006,6/26/2020,1350 MAYSON TURNER RD NW,106,Bankhead,K,33.76555,-84.43204,,
AGG ASSAULT,201781056,6/26/2020,1498 BOLTON RD NW,113,Monroe Heights,G,33.79954,-84.48837,,
LARCENY,201781067,6/26/2020,65 IRBY AVE NW,206,South Tuxedo Park,B,33.84133,-84.38102,,
AGG ASSAULT,201781155,6/26/2020,525 MCDANIEL ST SW,303,Mechanicsville,V,33.7408,-84.40276,,
BURGLARY,201781185,6/26/2020,94 ALLEN TEMPLE CT NW,111,,I,33.75266,-84.49055,,
AGG ASSAULT,201781197,6/26/2020,82 HAYGOOD AVE SE,304,Peoplestown,V,33.72669,-84.38536,,
LARCENY,201781241,6/26/2020,934 MAYSON TURNER RD NW,105,Washington Park,K,33.75815,-84.41873,,
AUTO THEFT,201781288,6/26/2020,1554 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.7437,-84.43859,,
LARCENY,201781319,6/26/2020,275 10TH ST NE,503,Midtown,E,33.78143,-84.37829,,
AGG ASSAULT,201781390,6/26/2020,568 POOLE PL SW,401,West End,T,33.73906,-84.41408,,
AGG ASSAULT,201781404,6/26/2020,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507,,
LARCENY,201781461,6/26/2020,285 MARIETTA ST,508,Downtown,M,33.76097,-84.3951,,
AUTO THEFT,201781545,6/26/2020,121 CLEVELAND AVE SE,312,Glenrose Heights,Z,33.68071,-84.3847,,
LARCENY,201781555,6/26/2020,1134 CRESCENT AVENUE NE,503,Midtown,E,33.78576,-84.38434,,
LARCENY,201700673,6/26/2020,470 16TH ST NW,501,Home Park,E,33.7883,-84.40387,,
AUTO THEFT,201770001,6/25/2020,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678,,
LARCENY,201770019,6/25/2020,1359 ELIZABETH AVE SW,403,Venetian Hills,S,33.71733,-84.43585,,
BURGLARY,201770036,6/25/2020,1080 HILL ST SE,605,Grant Park,W,33.725,-84.3783,,
HOMICIDE,201770057,6/25/2020,1129 GRAYMONT DR SW,403,Oakland City,S,33.72441,-84.43674,,
BURGLARY,201770061,6/25/2020,360 NEW JERSEY AVE NW,108,Grove Park,J,33.76497,-84.45615,,
LARCENY,201770082,6/25/2020,464 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75448,-84.37234,,
LARCENY,201770098,6/25/2020,218 PEACHTREE ST NW @WESTIN HOTEL,508,Downtown,M,33.76028,-84.38768,,
LARCENY,201770100,6/25/2020,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,,
LARCENY,201770115,6/25/2020,100 10TH ST NE,503,Midtown,E,33.78179,-84.38378,,
AUTO THEFT,201770196,6/25/2020,614 TERRACE AVE NE,608,Candler Park,N,33.77051,-84.33608,,
BURGLARY,201770215,6/25/2020,267 MARIETTA ST NW,508,Downtown,M,33.76071,-84.39469,,
LARCENY,201770237,6/25/2020,2545 JONESBORO RD SE,310,Browns Mill Park,Z,33.68464,-84.3668,,
LARCENY,201770250,6/25/2020,995 WYLIE ST SE,606,Reynoldstown,N,33.75229,-84.3545,,
AUTO THEFT,201770254,6/25/2020,2963 DIANA DR SW,311,Hammond Park,X,33.67415,-84.41198,,
LARCENY,201770269,6/25/2020,170 10TH ST NE,503,Midtown,E,33.7821,-84.38139,,
LARCENY,201770279,6/25/2020,149 W LAKE AVE NW,105,West Lake,J,33.75802,-84.44398,,
LARCENY,201770282,6/25/2020,285 MARIETTA ST NW,508,Downtown,M,33.76097,-84.3951,,
LARCENY,201770351,6/25/2020,3906 ROSWELL RD NE @CF,209,East Chastain Park,B,33.86179,-84.38127,,
LARCENY,201770356,6/25/2020,1108 CHATTAHOOCHEE AVE NW,103,Underwood Hills,D,33.80105,-84.42371,,
AGG ASSAULT,201770367,6/25/2020,1033 HOLLYWOOD RD NW,110,Almond Park,G,33.78308,-84.45882,,
LARCENY,201770374,6/25/2020,500 10TH ST NE @BELTLINE BUSINESS,502,,E,33.78223,-84.36922,,
LARCENY,201770379,6/25/2020,396 BROWNLEE RD SW,406,,I,33.746,-84.49751,,
ROBBERY,201770385,6/25/2020,824 DONALD LEE HOLLOWELL PKWY NW,506,English Avenue,L,33.77282,-84.41423,,
LARCENY,201770460,6/25/2020,433 ARGUS CIR NW,111,Adamsville,H,33.7651,-84.50098,,
ROBBERY,201770466,6/25/2020,4065 SOUTHWOOD CIR SW,412,Ben Hill Terrace,P,33.69639,-84.52091,,
LARCENY,201770487,6/25/2020,815 WILLIAMS ST NW,505,Midtown,E,33.77836,-84.39007,,
AUTO THEFT,201770508,6/25/2020,1356 ENGLISH ST NW,103,Blandtown,D,33.79331,-84.42067,,
BURGLARY,201770525,6/25/2020,1047 KIRKWOOD AVE SE,606,Reynoldstown,N,33.75001,-84.35283,,
LARCENY,201770536,6/25/2020,1634 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70965,-84.37962,,
LARCENY,201770627,6/25/2020,1041 WILLIAMS MILL RD NE,602,Poncey-Highland,N,33.77029,-84.35316,,
AUTO THEFT,201770634,6/25/2020,82  WHITEHOUSE DR SW,104,Ashview Heights,T,33.75248,-84.41987,,
LARCENY,201770670,6/25/2020,411 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77237,-84.3738,,
BURGLARY,201770680,6/25/2020,840 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73792,-84.4152,,
BURGLARY,201770726,6/25/2020,2489 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82226,-84.3515,,
LARCENY,201770776,6/25/2020,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77689,-84.40807,,
AGG ASSAULT,201770785,6/25/2020,288 RALPH DAVID ABERNATHY BLVD,303,Mechanicsville,V,33.73477,-84.39575,,
LARCENY,201770824,6/25/2020,2319 HAVENRIDGE DR NW,205,Peachtree Battle Alliance,C,33.81838,-84.39935,,
LARCENY,201770860,6/25/2020,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631,,
LARCENY,201770919,6/25/2020,620 PARKWAY DR NE,603,Old Fourth Ward,M,33.77167,-84.37289,,
LARCENY,201770947,6/25/2020,434 JOHN ST NW,507,Downtown,M,33.76631,-84.40123,,
LARCENY,201770955,6/25/2020,675 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.7729,-84.35241,,
AGG ASSAULT,201770983,6/25/2020,ARTHUR LANGFORD PKWY SW / SYLVAN RD SW,306,Campbellton Road,R,33.70024,-84.45305,,
LARCENY,201771037,6/25/2020,3500 NE PEACHTREE ST NE,210,North Buckhead,B,33.85252,-84.36116,,
AGG ASSAULT,201771048,6/25/2020,3951 WIEUCA RD NE,209,North Buckhead,B,33.86271,-84.36559,,
ROBBERY,201771053,6/25/2020,232 CHASTAIN PRESERVE LN NE,209,North Buckhead,B,33.8648,-84.37976,,
LARCENY,201771066,6/25/2020,270 FIELDING LN SW,406,Peyton Forest,I,33.74694,-84.48268,,
LARCENY,201771088,6/25/2020,725 CRESTWELL CIR SW,407,Mays,H,33.74555,-84.50343,,
LARCENY,201771122,6/25/2020,441 16TH ST NW @IKEA,501,Atlantic Station,E,33.78874,-84.40468,,
LARCENY,201771131,6/25/2020,483 ROY ST SW,302,Pittsburgh,V,33.72441,-84.40358,,
LARCENY,201771135,6/25/2020,80 12TH ST NE,503,Midtown,E,33.78464,-84.38504,,
LARCENY,201771190,6/25/2020,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554,,
LARCENY,201771223,6/25/2020,DREWRY ST NE / PONCE DE LEON PL NE,601,Virginia Highland,F,33.77779,-84.36294,,
LARCENY,201771227,6/25/2020,306 ANDERSON AVE NW,108,Dixie Hills,J,33.76341,-84.45167,,
LARCENY,201771238,6/25/2020,2660 PEACHTREE RD NW,206,Peachtree Heights West,B,33.82746,-84.38832,,
AGG ASSAULT,201771263,6/25/2020,1465 KENNESAW DR NW,107,Grove Park,J,33.7668,-84.43565,,
ROBBERY,201771323,6/25/2020,434 COOPER ST SW,303,Mechanicsville,V,33.74276,-84.39685,,
AGG ASSAULT,201771368,6/25/2020,2272 BAYWOOD DR SE,310,Swallow Circle/Baywood,Z,33.69238,-84.38818,,
LARCENY,201771378,6/25/2020,341 TED TURNER DR NW,508,Downtown,M,33.76381,-84.38888,,
LARCENY,201760043,6/24/2020,20 HOWELL ST NE,604,Old Fourth Ward,M,33.75489,-84.36994,,
LARCENY,201760064,6/24/2020,933 PEACHTREE ST NE,503,Midtown,E,33.77965,-84.38369,,
AUTO THEFT,201760065,6/24/2020,325 CENTENNIAL OLYMPIC P DR NW,508,Downtown,M,33.76354,-84.39183,,
AGG ASSAULT,201760092,6/24/2020,2900 LANDRUM DR SW,409,Southwest,R,33.70623,-84.48372,,
LARCENY,201760116,6/24/2020,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82063,-84.3651,,
AGG ASSAULT,201760118,6/24/2020,2581 DALE CREEK DR NW,112,Collier Heights,I,33.76477,-84.4754,,
LARCENY,201760162,6/24/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,,
BURGLARY,201760206,6/24/2020,180 UNIVERSITY AVE SW,302,Pittsburgh,V,33.72164,-84.39375,,
LARCENY,201760211,6/24/2020,1818 TIMOTHY DR SW,410,Pomona Park,R,33.70571,-84.45082,,
LARCENY,201760308,6/24/2020,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,,
AUTO THEFT,201760325,6/24/2020,1043 WASHITA AVE NE,602,Inman Park,N,33.76408,-84.35364,,
ROBBERY,201760345,6/24/2020,2718 DALE CREEK DR,112,Collier Heights,I,33.76448,-84.47596,,
LARCENY,201760355,6/24/2020,100 PIEDMONT AVE SE,511,Downtown,M,33.75096,-84.38534,,
LARCENY,201760363,6/24/2020,398 14TH STREET,501,Home Park,E,33.7862,-84.39981,,
BURGLARY,201760470,6/24/2020,303 PEACHTREE CENTER AVE NE,509,Downtown,M,33.76289,-84.38589,,
LARCENY,201760478,6/24/2020,1080 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73808,-84.42305,,
BURGLARY,201760506,6/24/2020,1121 OAK KNOLL TER SE,307,Lakewood Heights,Y,33.70778,-84.37668,,
LARCENY,201760519,6/24/2020,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,,
AUTO THEFT,201760520,6/24/2020,543 BURROUGHS ST SE,305,Chosewood Park,Y,33.71796,-84.36981,,
LARCENY,201760553,6/24/2020,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532,,
LARCENY,201760557,6/24/2020,1401 W PACES FERRY RD NW,201,Paces,A,33.85015,-84.43213,,
LARCENY,201760571,6/24/2020,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208,,
LARCENY,201760595,6/24/2020,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,,
LARCENY,201760612,6/24/2020,3215 SAVILLE ST SW,414,Princeton Lakes,P,33.66613,-84.51616,,
LARCENY,201760614,6/24/2020,396 BROWNLEE RD SW,406,,I,33.74635,-84.49705,,
AGG ASSAULT,201760665,6/24/2020,917 PIEDMONT AVE NE,503,Midtown,E,33.77966,-84.38064,,
LARCENY,201760669,6/24/2020,608 14TH ST NW,501,Home Park,E,33.78578,-84.40707,,
AUTO THEFT,201760768,6/24/2020,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678,,
LARCENY,201760783,6/24/2020,2250 MARIETTA BLVD NW,103,Bolton,D,33.81717,-84.44766,,
LARCENY,201760879,6/24/2020,64 FAIR STREET,507,Downtown,M,33.75648,-84.39099,,
BURGLARY,201760917,6/24/2020,473 UTOY CIR SW,407,Ridgecrest Forest,H,33.74145,-84.52609,,
LARCENY,201760977,6/24/2020,55 HILLIARD ST,604,Sweet Auburn,M,33.75286,-84.37718,,
LARCENY,201761011,6/24/2020,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,205,Wildwood (NPU-C),C,33.81022,-84.41347,,
LARCENY,201761102,6/24/2020,3223 STETSON PL NW,112,Collier Heights,I,33.77696,-84.49302,,
AGG ASSAULT,201761183,6/24/2020,2809 PIEDMONT RD NE,211,Peachtree Park,B,33.83047,-84.36763,,
AUTO THEFT,201761261,6/24/2020,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,,
AGG ASSAULT,201761302,6/24/2020,2545 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68496,-84.39253,,
LARCENY,201740692,6/23/2020,423 MULBERRY ROWE,312,Glenrose Heights,Z,33.66592,-84.38313,,
LARCENY,201750011,6/23/2020,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74147,-84.34804,,
LARCENY,201750012,6/23/2020,305 CENTENNIAL OLYMPIC P DR NW,508,Downtown,M,33.76271,-84.39166,,
LARCENY,201750059,6/23/2020,300 LUCKIE ST NW,508,Downtown,M,33.76254,-84.39597,,
ROBBERY,201750113,6/23/2020,835 OGLETHORPE AVE SW,401,West End,T,33.73592,-84.41564,,
LARCENY,201750117,6/23/2020,3179 PEACHTREE RD NE @MOONDOGS,206,Buckhead Village,B,33.84103,-84.37544,,
BURGLARY,201750146,6/23/2020,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.85242,-84.36703,,
LARCENY,201750188,6/23/2020,1786 JOHNSON RD NW,110,Rockdale,G,33.7853,-84.44603,,
LARCENY,201750217,6/23/2020,375 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76106,-84.37588,,
LARCENY,201750218,6/23/2020,267 MARIETTA ST NW,508,Downtown,M,33.76071,-84.39469,,
BURGLARY,201750221,6/23/2020,239 W LAKE AVE NW,105,West Lake,J,33.76077,-84.44203,,
LARCENY,201750236,6/23/2020,156 7TH ST NE,505,Midtown,E,33.77855,-84.38213,,
LARCENY,201750262,6/23/2020,180 JACKSON ST NE @ATLANTA OVERLOOK AP,604,Sweet Auburn,M,33.75929,-84.37628,,
LARCENY,201750263,6/23/2020,2075 COTTAGE LN NW,205,Collier Hills,C,33.81204,-84.40612,,
BURGLARY,201750275,6/23/2020,1231 PRINCESS AVE SW,403,Oakland City,S,33.72133,-84.42565,,
LARCENY,201750277,6/23/2020,1230 HIGHTOWER RD NW,113,Carey Park,G,33.78916,-84.47041,,
LARCENY,201750290,6/23/2020,390 STOVALL ST SE,606,Ormewood Park,W,33.74366,-84.3541,,
LARCENY,201750294,6/23/2020,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82266,-84.3643,,
LARCENY,201750303,6/23/2020,1818 RIDGEWAY AVE NW @UNDERWOOD HILLS PARK,204,Underwood Hills,D,33.80562,-84.41661,,
LARCENY,201750334,6/23/2020,123 CHICAMAUGA AVE SW,104,Mozley Park,K,33.75179,-84.43239,,
LARCENY,201750361,6/23/2020,80 PEACHTREE PL NE,503,Midtown,E,33.78096,-84.38494,,
LARCENY,201750368,6/23/2020,1558 FOOTE ST NE,609,Edgewood,O,33.75794,-84.33643,,
LARCENY,201750374,6/23/2020,1309 GLENWOOD AVE SE,612,East Atlanta,W,33.74,-84.34437,,
LARCENY,201750468,6/23/2020,1194 CHURCH ST NW  / KNIGHT PARK,106,Knight Park/Howell Station,K,33.78394,-84.42645,,
BURGLARY,201750477,6/23/2020,2120 SOUTHWOOD BLVD SW,412,Ben Hill Terrace,P,33.69643,-84.51941,,
LARCENY,201750479,6/23/2020,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.85242,-84.36703,,
ROBBERY,201750514,6/23/2020,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80077,-84.40869,,
LARCENY,201750536,6/23/2020,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,,
LARCENY,201750541,6/23/2020,2867 ELLIOTT CIR NE,211,Peachtree Park,B,33.834,-84.36637,,
LARCENY,201750545,6/23/2020,111 CONE ST NW,508,Downtown,M,33.75785,-84.38996,,
LARCENY,201750557,6/23/2020,1198 HOWELL MILL RD NW,103,Blandtown,D,33.78703,-84.41185,,
LARCENY,201750600,6/23/2020,91 WHITAKER CIR NW,105,West Lake,J,33.75828,-84.44506,,
LARCENY,201750638,6/23/2020,455 PEACHTREE ST NW,508,Downtown,M,33.76685,-84.3853,,
AGG ASSAULT,201750689,6/23/2020,2115 PIEDMONT RD NE,212,,F,33.81443,-84.36671,,
LARCENY,201750732,6/23/2020,430 IRWIN ST NE,604,Sweet Auburn,M,33.75804,-84.37348,,
AUTO THEFT,201750740,6/23/2020,281 BUCKHEAD AVE NE,206,Buckhead Village,B,33.83795,-84.37819,,
LARCENY,201750768,6/23/2020,3355 PEACHTREE RD NE,208,Lenox,B,33.8478,-84.36708,,
LARCENY,201750777,6/23/2020,3515 ZIP INDUSTRIAL BLVD SE,313,Blair Villa/Poole Creek,Z,33.65891,-84.38398,,
LARCENY,201750794,6/23/2020,242 12TH ST NE,503,Midtown,E,33.78436,-84.37953,,
LARCENY,201750832,6/23/2020,1387 NORTHSIDE DR NW,207,Loring Heights,E,33.79266,-84.40727,,
AGG ASSAULT,201750857,6/23/2020,717 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73539,-84.41799,,
AGG ASSAULT,201750859,6/23/2020,806 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73794,-84.41433,,
LARCENY,201750878,6/23/2020,415 MEMORIAL DR SE,605,Grant Park,W,33.74652,-84.37423,,
LARCENY,201750889,6/23/2020,127 PRATT ST SE,510,Downtown,M,33.75116,-84.38173,,
LARCENY,201751032,6/23/2020,1163 W PEACHTREE ST NE,503,Midtown,E,33.78636,-84.3877,,
AGG ASSAULT,201751091,6/23/2020,16 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.75395,-84.37543,,
AGG ASSAULT,201751128,6/23/2020,486 PONCE DE LEON AVE NE,614,Old Fourth Ward,M,33.77367,-84.37088,,
AUTO THEFT,201751172,6/23/2020,135 UNIVERSITY AVE SW,304,Peoplestown,V,33.72192,-84.39265,,
LARCENY,201751188,6/23/2020,300 LUCKIE ST NW,508,Downtown,M,33.76254,-84.39597,,
BURGLARY,201751216,6/23/2020,40 PEACHTREE VALLEY RD NE,207,,E,33.81097,-84.39154,,
LARCENY,201751224,6/23/2020,1125 PEACHTREE ST NE,503,Midtown,E,33.78515,-84.38267,,
AGG ASSAULT,201600236,6/23/2020,4515 GREEN CUP LN SW   ,412,Midwest Cascade,Q,33.72907,-84.53763,,
BURGLARY,201740704,6/22/2020,684 HOLMES ST NW,207,Berkeley Park,D,33.7992,-84.41078,,
LARCENY,201740792,6/22/2020,83 FLORA AVE NE,609,Edgewood,O,33.75591,-84.34374,,
BURGLARY,201740818,6/22/2020,718 ARGONNE AVE NE,505,Midtown,E,33.77415,-84.37778,,
LARCENY,201740823,6/22/2020,56 E ANDREWS DR NW ,206,South Tuxedo Park,B,33.84316,-84.38104,,
AUTO THEFT,201740932,6/22/2020,620 HANSELL ST SE,605,Grant Park,W,33.74033,-84.36733,,
ROBBERY,201740938,6/22/2020,806 ELOISE CT SE,605,Grant Park,W,33.73441,-84.36101,,
AUTO THEFT,201740951,6/22/2020,4314 ROSWELL RD NE,209,East Chastain Park,B,33.87312,-84.38156,,
BURGLARY,201741002,6/22/2020,786 CLEVELAND AVE SW,311,Hammond Park,X,33.68069,-84.41464,,
AUTO THEFT,201741011,6/22/2020,500 CLEVELAND AVE SE,310,Browns Mill Park,Z,33.68149,-84.36933,,
LARCENY,201741015,6/22/2020,1735 DEFOOR PL NW,204,Underwood Hills,D,33.80224,-84.42161,,
LARCENY,201741040,6/22/2020,529 W PEACHTREE ST NE,509,Downtown,M,33.76896,-84.38487,,
LARCENY,201741055,6/22/2020,602 ROCKWELL ST SW,302,Pittsburgh,V,33.73167,-84.4074,,
LARCENY,201741077,6/22/2020,806 MYRTLE ST NE,505,Midtown,E,33.77667,-84.38018,,
BURGLARY,201741160,6/22/2020,23 LARKIN PL SW,507,Castleberry Hill,M,33.74728,-84.40426,,
LARCENY,201741169,6/22/2020,650 PONCE DE LEON AVE,614,Midtown,E,33.77469,-84.36561,,
LARCENY,201741234,6/22/2020,1130 PEACHTREE ST NE,503,Midtown,E,33.78526,-84.3831,,
BURGLARY,201741255,6/22/2020,239 SCIPLE TER NW,102,Vine City,L,33.76144,-84.41502,,
LARCENY,201741284,6/22/2020,537 PARK AVE SE @GRANT PARK,605,Grant Park,W,33.74029,-84.3699,,
LARCENY,201741319,6/22/2020,777 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77361,-84.36187,,
LARCENY,201741352,6/22/2020,2166 PEACHTREE RD NW @HOUSTONS,207,,C,33.81349,-84.39275,,
AUTO THEFT,201740135,6/22/2020,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017,,
LARCENY,201740172,6/22/2020,1083 WESTVIEW DR SW,104,Ashview Heights,T,33.74725,-84.42314,,
LARCENY,201740268,6/22/2020,26 ANDREW YOUNG INTERNA BLVD NE,509,Downtown,M,33.75978,-84.38671,,
BURGLARY,201740285,6/22/2020,1159 MORELAND AVE SE,607,Woodland Hills,W,33.72261,-84.34979,,
AUTO THEFT,201740286,6/22/2020,620 HOME AVE SE,605,Grant Park,W,33.7295,-84.36724,,
AUTO THEFT,201740351,6/22/2020,3833 PRINCETON LAKES CT SW,414,Princeton Lakes,P,33.65684,-84.51316,,
BURGLARY,201740396,6/22/2020,790 BERNE ST SE,605,Grant Park,W,33.7371,-84.36139,,
LARCENY,201740435,6/22/2020,1176 MEMORIAL DR SE,607,Edgewood,O,33.74784,-84.34875,,
AUTO THEFT,201740449,6/22/2020,3475 JONESBORO RD SE,313,Blair Villa/Poole Creek,Z,33.66016,-84.37237,,
LARCENY,201740453,6/22/2020,1683 DEFOOR CIR NW,204,Underwood Hills,D,33.80102,-84.41976,,
BURGLARY,201740456,6/22/2020,1161 COLEMAN ST SW,302,Pittsburgh,V,33.72324,-84.40424,,
LARCENY,201740476,6/22/2020,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,,
LARCENY,201740496,6/22/2020,2617 MEMORIAL DR SE @EAST LAKE PARK,611,East Lake,O,33.74638,-84.29998,,
LARCENY,201740511,6/22/2020,2081 JONESBORO RD SE,310,Lakewood,Z,33.69733,-84.37059,,
LARCENY,201740514,6/22/2020,72 MILTON AVE SE,304,Peoplestown,V,33.7247,-84.38628,,
AGG ASSAULT,201740553,6/22/2020,2257 LENOX RD NE,613,Lindridge/Martin Manor,F,33.8167,-84.3518,,
AGG ASSAULT,201740554,6/22/2020,942 ROSEDALE RD NE,601,Virginia Highland,F,33.78034,-84.34853,,
AUTO THEFT,201740564,6/22/2020,450 BISHOP ST NW,207,Loring Heights,E,33.79238,-84.40248,,
LARCENY,201740565,6/22/2020,1165 RAMBLER CROSS SE,607,Boulevard Heights,W,33.72306,-84.36305,,
LARCENY,201740567,6/22/2020,232 7TH ST NE ,505,Midtown,E,33.7783,-84.37952,,
LARCENY,201740575,6/22/2020,971 PIEDMONT AVE NE,503,Midtown,E,33.78116,-84.38025,,
LARCENY,201740577,6/22/2020,1045 PIEDMONT AVE NE,502,Midtown,E,33.78312,-84.37962,,
LARCENY,201740580,6/22/2020,95 MARTIN L KING JR DR SW,511,Downtown,M,33.75161,-84.39112,,
BURGLARY,201740593,6/22/2020,79 MARIETTA ST,508,Downtown,M,33.75645,-84.39168,,
AUTO THEFT,201740606,6/22/2020,2020 BOLTOM RD NW,103,Riverside,D,33.81125,-84.47594,,
LARCENY,201740613,6/22/2020,3150 STONEGATE DR SW,411,Greenbriar,R,33.67109,-84.4942,,
AUTO THEFT,201740670,6/22/2020,505 PHARR RD NE,206,Garden Hills,B,33.83691,-84.37182,,
ROBBERY,201740686,6/22/2020,509 HOLLY ST NW,107,Grove Park,J,33.7691,-84.43742,,
LARCENY,201700793,6/22/2020,701 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76124,-84.36391,,
BURGLARY,201731296,6/22/2020,2921 LINKS DR SE,611,The Villages at East Lake,O,33.74462,-84.31162,,
LARCENY,201731301,6/21/2020,132 10TH ST NE,503,Midtown,E,33.78222,-84.3829,,
LARCENY,201731307,6/21/2020,2110 PEACHTREE RD NW @MICK'S - BENNETT ST,207,,C,33.81203,-84.39274,,
LARCENY,201731321,6/21/2020,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,,
LARCENY,201731334,6/21/2020,3464 ROXBORO RD,210,South Tuxedo Park,B,33.8491,-84.38286,,
AUTO THEFT,201730130,6/21/2020,1093 FAYETTEVILLE RD SE,612,East Atlanta,W,33.72442,-84.32621,,
BURGLARY,201730133,6/21/2020,393 MARIETTA ST NW,508,Downtown,M,33.76369,-84.3971,,
ROBBERY,201730152,6/21/2020,1741 DERRY AVE SW ,404,Westview,T,33.74349,-84.4457,,
LARCENY,201730183,6/21/2020,E ANDREWS DR NW / CAINS HILL PL NW,206,South Tuxedo Park,B,33.84361,-84.38054,,
AGG ASSAULT,201730185,6/21/2020,1035 HARWELL ST NW,105,Washington Park,K,33.7559,-84.42168,,
ROBBERY,201730195,6/21/2020,118 HOWELL ST NE,604,Old Fourth Ward,M,33.75737,-84.37007,,
AGG ASSAULT,201730197,6/21/2020,991 PIEDMONT AVE NE,503,Midtown,E,33.78152,-84.38091,,
LARCENY,201730213,6/21/2020,980 HOWELL MILL RD NW,501,Home Park,E,33.78137,-84.41138,,
LARCENY,201730216,6/21/2020,340 W PEACHTREE ST NW,508,Downtown,M,33.76388,-84.38763,,
